"","X","Player","Span","Mat","Start","Sub","Pts","Tries","Conv","Pens","Drop","GfM","Won","Lost","Draw","X.","Team"
"5952",5952,"P Bertrand ","1951-1953",8,8,0,"13",0,2,3,0,0,4,4,0,50,"Fra"
"5953",5953,"NW Biggs ","1888-1894",8,8,0,"4",2,0,0,0,0,4,4,0,50,"Wales"
"5954",5954,"G Bigiu ","2007-2008",8,5,3,"5",1,0,0,0,0,6,2,0,75,"Rom"
"5955",5955,"A Billington ","1994-1998",8,7,1,"70",14,0,0,0,0,2,6,0,25,"HK"
"5956",5956,"AW Black ","1947-1950",8,8,0,"0",0,0,0,0,0,2,5,1,31.25,"Lions/Scot"
"5957",5957,"M Blagescu ","1952-1957",8,8,0,"0",0,0,0,0,0,5,3,0,62.5,"Rom"
"5958",5958,"CF Blaikie ","1963-1969",8,8,0,"15",0,0,5,0,0,4,4,0,50,"Scot"
"5959",5959,"O Blake ","1983-1988",8,8,0,"0",0,0,0,0,0,0,7,1,6.25,"Tonga"
"5960",5960,"J Blanc ","2019-2019",8,7,1,"25",5,0,0,0,0,1,7,0,12.5,"Chile"
"5961",5961,"CJ Blanco Smith ","2011-2013",8,6,2,"5",1,0,0,0,0,4,4,0,50,"Spain"
"5962",5962,"GV Bland ","1928-1933",8,8,0,"0",0,0,0,0,0,3,5,0,37.5,"Aust"
"5963",5963,"EA Bley ","1993-1995",8,7,1,"0",0,0,0,0,0,4,4,0,50,"CdI"
"5964",5964,"K Bolatagane ","2009-2012",8,0,8,"5",1,0,0,0,0,5,3,0,62.5,"Fiji"
"5965",5965,"G Bomio ","1983-1988",8,6,2,"4",1,0,0,0,0,4,4,0,50,"Urug"
"5966",5966,"JEA Bonner ","1922-1924",8,8,0,"0",0,0,0,0,0,6,2,0,75,"Aust"
"5967",5967,"R Bonner ","1967-1979",8,8,0,"7",2,0,0,0,0,3,5,0,37.5,"Urug"
"5968",5968,"M Booysen ","1993-1996",8,8,0,"8",1,0,0,1,0,5,3,0,62.5,"Namib"
"5969",5969,"G Bowd ","2016-2017",8,5,3,"0",0,0,0,0,0,4,4,0,50,"Can"
"5970",5970,"CE Braley ","2019-2020",8,5,3,"0",0,0,0,0,0,2,6,0,25,"Italy"
"5971",5971,"JC Breedt ","1986-1992",8,8,0,"0",0,0,0,0,0,5,3,0,62.5,"SA"
"5972",5972,"A Brettargh ","1900-1905",8,8,0,"3",1,0,0,0,0,1,6,1,18.75,"Eng"
"5973",5973,"JD Brockhoff ","1949-1951",8,8,0,"6",2,0,0,0,0,3,4,1,43.75,"Aust"
"5974",5974,"TJ Brophy ","1964-1966",8,8,0,"0",0,0,0,0,0,1,6,1,18.75,"Eng"
"5975",5975,"SJ Brotherstone ","1999-2002",8,6,2,"0",0,0,0,0,0,4,4,0,50,"Scot"
"5976",5976,"MJ Brownlie ","1924-1928",8,8,0,"6",2,0,0,0,0,6,2,0,75,"NZ"
"5977",5977,"CR Bruce ","1947-1949",8,8,0,"0",0,0,0,0,0,2,6,0,25,"Scot"
"5978",5978,"M Brunello ","1988-1993",8,8,0,"15",3,0,0,1,0,5,3,0,62.5,"Italy"
"5979",5979,"DJ Bryant ","1988-1989",8,8,0,"0",0,0,0,0,0,2,6,0,25,"Wales"
"5980",5980,"F Bueno Cabeza ","1968-1977",8,7,1,"10",1,0,2,0,0,2,5,1,31.25,"Spain"
"5981",5981,"R Bullrich ","1991-1994",8,6,2,"0",0,0,0,0,0,5,3,0,62.5,"Arg"
"5982",5982,"DW Burland ","1931-1933",8,8,0,"23",3,4,2,0,0,3,4,1,43.75,"Eng"
"5983",5983,"WA Burnet ","1934-1936",8,8,0,"0",0,0,0,0,0,1,7,0,12.5,"Scot"
"5984",5984,"EL Caffarone ","1949-1954",8,8,0,"6",2,0,0,0,0,2,5,1,31.25,"Arg"
"5985",5985,"M Campagna ","1933-1938",8,8,0,"3",1,0,0,0,0,3,3,2,50,"Italy"
"5986",5986,"R Canessa ","1971-1979",8,7,1,"23",3,0,4,0,0,4,4,0,50,"Urug"
"5987",5987,"R Carballo ","2006-2010",8,6,2,"15",3,0,0,0,0,5,3,0,62.5,"Arg"
"5988",5988,"RJG Card ","1996-1997",8,4,4,"0",0,0,0,0,0,4,4,0,50,"Can"
"5989",5989,"M Carpentier ","1980-1982",8,8,0,"0",0,0,0,0,0,2,6,0,25,"Fra"
"5990",5990,"RMT Carre ","2019-2020",8,1,7,"0",0,0,0,0,0,3,5,0,37.5,"Wales"
"5991",5991,"M Carreras ","1987-1992",8,7,1,"8",2,0,0,0,0,2,6,0,25,"Arg"
"5992",5992,"J Carrere ","1956-1959",8,8,0,"0",0,0,0,0,0,2,5,1,31.25,"Fra"
"5993",5993,"P Casas ","2016-2016",8,3,5,"5",1,0,0,0,0,2,5,1,31.25,"Chile"
"5994",5994,"M Cascarra ","2002-2003",8,8,0,"80",1,10,17,0,0,2,6,0,25,"Spain"
"5995",5995,"ST Casey ","1905-1908",8,8,0,"0",0,0,0,0,0,6,1,1,81.25,"NZ"
"5996",5996,"U Cassiem ","2016-2017",8,6,2,"5",1,0,0,0,0,2,4,2,37.5,"SA"
"5997",5997,"C Castro ","2000-2001",8,1,7,"0",0,0,0,0,0,2,6,0,25,"Port"
"5998",5998,"HC Catcheside ","1924-1927",8,8,0,"18",6,0,0,0,0,5,2,1,68.75,"Eng"
"5999",5999,"R Caucaunibuca ","2003-2010",8,8,0,"50",10,0,0,0,0,3,5,0,37.5,"Fiji/PI"
"6000",6000,"B Causey ","1977-1987",8,8,0,"0",0,0,0,0,0,1,5,2,25,"USA"
"6001",6001,"G Cavalevu ","1951-1954",8,8,0,"12",4,0,0,0,0,4,4,0,50,"Fiji"
"6002",6002,"I Chaika ","2011-2012",8,4,4,"5",1,0,0,0,0,1,7,0,12.5,"Ukr"
"6003",6003,"FE Chapman ","1908-1914",8,8,0,"20",1,7,1,0,0,6,1,1,81.25,"A-W/Eng"
"6004",6004,"LM Chaves ","1965-1970",8,7,1,"0",0,0,0,0,0,1,6,1,18.75,"Port"
"6005",6005,"DA Chegodaev ","2015-2016",8,4,4,"5",1,0,0,0,0,5,3,0,62.5,"Russ"
"6006",6006,"L Chikvinidze ","1994-1997",8,7,1,"2",0,1,0,0,0,6,2,0,75,"Georg"
"6007",6007,"S Chirila ","1989-1991",8,8,0,"8",2,0,0,0,0,5,3,0,62.5,"Rom"
"6008",6008,"A Chupin ","1999-2003",8,5,3,"5",1,0,0,0,0,6,2,0,75,"Russ"
"6009",6009,"P Ciulini ","2016-2018",8,5,3,"5",1,0,0,0,0,3,5,0,37.5,"Can"
"6010",6010,"S Civetta Ponce de Leon ","2019-2019",8,6,2,"5",1,0,0,0,0,3,5,0,37.5,"Urug"
"6011",6011,"M Claassens ","2004-2007",8,2,6,"0",0,0,0,0,0,5,3,0,62.5,"SA"
"6012",6012,"ATH Clarke ","1995-1998",8,4,4,"0",0,0,0,0,0,4,4,0,50,"Ire"
"6013",6013,"LJ Coltman ","2016-2019",8,1,7,"0",0,0,0,0,0,7,1,0,87.5,"NZ"
"6014",6014,"A Comin ","1955-1958",8,8,0,"9",0,3,1,0,0,4,4,0,50,"Italy"
"6015",6015,"F Constantin ","1972-1982",8,5,3,"0",0,0,0,0,0,4,4,0,50,"Rom"
"6016",6016,"AE Cooke ","1924-1930",8,8,0,"12",4,0,0,0,0,7,1,0,87.5,"NZ"
"6017",6017,"T Coolican ","2014-2014",8,0,8,"0",0,0,0,0,0,3,4,1,43.75,"USA"
"6018",6018,"MJA Cooper ","1992-1994",8,4,4,"55",2,10,9,0,0,6,2,0,75,"NZ"
"6019",6019,"HH Corley ","1902-1904",8,8,0,"5",0,1,1,0,0,2,6,0,25,"Ire"
"6020",6020,"P Correia Neiva ","1990-1993",8,7,1,"5",1,0,0,0,0,4,4,0,50,"Port"
"6021",6021,"LD Costea ","1994-1997",8,8,0,"0",0,0,0,0,0,1,7,0,12.5,"Rom"
"6022",6022,"RJ Cowling ","1977-1979",8,8,0,"0",0,0,0,0,0,2,5,1,31.25,"Eng"
"6023",6023,"M Crosa ","2007-2010",8,8,0,"15",3,0,0,0,0,3,4,1,43.75,"Urug"
"6024",6024,"BS Cumberlege ","1920-1922",8,8,0,"2",0,1,0,0,0,6,2,0,75,"Eng"
"6025",6025,"G Cunningham ","1908-1911",8,8,0,"11",0,4,1,0,0,3,5,0,37.5,"Scot"
"6026",6026,"LR Currie ","1947-1949",8,8,0,"0",0,0,0,0,0,3,5,0,37.5,"Scot"
"6027",6027,"KDV Dacey ","2015-2017",8,3,5,"0",0,0,0,0,0,4,4,0,50,"Wales"
"6028",6028,"A Dalgleish ","1890-1894",8,8,0,"0",0,0,0,0,0,4,4,0,50,"Scot"
"6029",6029,"GM Daneel ","1928-1932",8,8,0,"6",2,0,0,0,0,6,2,0,75,"SA"
"6030",6030,"DJ Daniel ","1891-1899",8,8,0,"0",0,0,0,0,0,3,5,0,37.5,"Wales"
"6031",6031,"P Dari ","1951-1954",8,7,1,"19",3,2,2,0,0,6,2,0,75,"Italy"
"6032",6032,"S Daunitutu ","1963-1964",8,8,0,"12",4,0,0,0,0,5,3,0,62.5,"Fiji"
"6033",6033,"JM Davies ","2018-2019",8,7,1,"5",1,0,0,0,0,6,2,0,75,"Wales"
"6034",6034,"SC Davies ","2016-2017",8,2,6,"24",0,0,7,1,0,6,2,0,75,"Wales"
"6035",6035,"JMMRS de Alte ","2017-2019",8,7,1,"0",0,0,0,0,0,6,2,0,75,"Port"
"6036",6036,"S Debacker ","2013-2017",8,2,6,"0",0,0,0,0,0,0,7,1,6.25,"Belg"
"6037",6037,"J Dedet ","1910-1913",8,8,0,"0",0,0,0,0,0,0,8,0,0,"Fra"
"6038",6038,"SM Deering ","1974-1978",8,8,0,"0",0,0,0,0,0,1,6,1,18.75,"Ire"
"6039",6039,"CR Demblon ","1991-1994",8,7,1,"0",0,0,0,0,0,3,5,0,37.5,"Zimb"
"6040",6040,"PDP de Villiers ","1928-1937",8,8,0,"0",0,0,0,0,0,6,2,0,75,"SA"
"6041",6041,"CJ Dick ","1961-1963",8,8,0,"0",0,0,0,0,0,1,5,2,25,"Ire"
"6042",6042,"J Dicks ","1934-1937",8,8,0,"0",0,0,0,0,0,6,1,1,81.25,"Eng"
"6043",6043,"T Djehi ","1993-1995",8,8,0,"0",0,0,0,0,0,4,4,0,50,"CdI"
"6044",6044,"DM Dobravsky ","2018-2019",8,4,4,"0",0,0,0,0,0,3,5,0,37.5,"Can"
"6045",6045,"I Dobre ","1951-1958",8,8,0,"0",0,0,0,0,0,6,2,0,75,"Rom"
"6046",6046,"JT Docherty ","1955-1958",8,8,0,"3",0,0,0,1,0,3,4,1,43.75,"Scot"
"6047",6047,"JH Dods ","1895-1897",8,8,0,"0",0,0,0,0,0,5,2,1,68.75,"Scot"
"6048",6048,"MJ Dods ","1994-1996",8,7,1,"80",3,1,21,0,0,3,3,2,50,"Scot"
"6049",6049,"BRW Doran ","1900-1902",8,8,0,"3",1,0,0,0,0,2,5,1,31.25,"Ire"
"6050",6050,"JA Drake ","1986-1987",8,8,0,"4",1,0,0,0,0,7,1,0,87.5,"NZ"
"6051",6051,"NJ Drake-Lee ","1963-1965",8,8,0,"3",1,0,0,0,0,3,3,2,50,"Eng"
"6052",6052,"RG Dryburgh ","1955-1960",8,8,0,"28",3,5,3,0,0,4,4,0,50,"SA"
"6053",6053,"PL Duff ","1936-1939",8,8,0,"6",2,0,0,0,0,4,4,0,50,"GB/Scot"
"6054",6054,"YLP du Manoir ","1925-1927",8,8,0,"4",0,0,0,1,0,0,8,0,0,"Fra"
"6055",6055,"A Dumoulin ","2014-2015",8,5,3,"0",0,0,0,0,0,5,3,0,62.5,"Fra"
"6056",6056,"MJ du Plessis ","1984-1989",8,8,0,"7",1,0,0,1,0,7,1,0,87.5,"SA"
"6057",6057,"SV du Preez ","2012-2017",8,1,7,"0",0,0,0,0,0,4,4,0,50,"Namib"
"6058",6058,"J Dupuy ","2009-2012",8,5,3,"38",0,4,10,0,0,4,4,0,50,"Fra"
"6059",6059,"PA du Toit ","1949-1952",8,8,0,"6",2,0,0,0,0,8,0,0,100,"SA"
"6060",6060,"H Dutrain ","1945-1949",8,8,0,"0",0,0,0,0,0,5,3,0,62.5,"Fra"
"6061",6061,"F Duwe ","2015-2018",8,5,3,"0",0,0,0,0,0,0,8,0,0,"Germ"
"6062",6062,"LJ Dwyer ","1910-1914",8,8,0,"4",0,0,0,1,0,3,5,0,37.5,"Aust"
"6063",6063,"B Edwards ","1996-1998",8,4,4,"0",0,0,0,0,0,6,2,0,75,"HK"
"6064",6064,"MK Elgie ","1954-1955",8,8,0,"14",1,1,3,0,0,2,6,0,25,"Scot"
"6065",6065,"D Elgoyhen Sanchez ","2008-2014",8,4,4,"0",0,0,0,0,0,1,7,0,12.5,"Spain"
"6066",6066,"MCG Ellis ","1993-1995",8,6,2,"55",11,0,0,0,0,6,2,0,75,"NZ"
"6067",6067,"J Engelbrecht ","1990-1995",8,8,0,"4",1,0,0,0,0,5,2,1,68.75,"Namib"
"6068",6068,"S Esakia ","1999-2004",8,5,3,"0",0,0,0,0,0,4,4,0,50,"Georg"
"6069",6069,"F Estebanez ","2010-2011",8,3,5,"0",0,0,0,0,0,5,3,0,62.5,"Fra"
"6070",6070,"AP Esterhuizen ","2018-2019",8,7,1,"0",0,0,0,0,0,4,4,0,50,"SA"
"6071",6071,"A Evdokimov ","1993-2001",8,8,0,"0",0,0,0,0,0,7,1,0,87.5,"Russ"
"6072",6072,"F Ezcurra ","2014-2019",8,2,6,"0",0,0,0,0,0,4,4,0,50,"Arg"
"6073",6073,"J Fabre ","1963-1964",8,8,0,"0",0,0,0,0,0,3,5,0,37.5,"Fra"
"6074",6074,"P Failliot ","1911-1913",8,8,0,"15",5,0,0,0,0,1,7,0,12.5,"Fra"
"6075",6075,"RL Fairfax ","1971-1973",8,8,0,"27",0,0,8,1,0,2,5,1,31.25,"Aust"
"6076",6076,"G Fantaneanu ","1934-1937",8,8,0,"0",0,0,0,0,0,1,6,1,18.75,"Rom"
"6077",6077,"AD Farrell ","2007-2007",8,6,2,"5",1,0,0,0,0,5,3,0,62.5,"Eng"
"6078",6078,"L Faure ","2008-2009",8,8,0,"0",0,0,0,0,0,3,5,0,37.5,"Fra"
"6079",6079,"D Fedyshyn ","2005-2012",8,5,3,"0",0,0,0,0,0,1,7,0,12.5,"Ukr"
"6080",6080,"DJ Fife ","2014-2018",8,4,4,"15",3,0,0,0,0,2,6,0,25,"Scot"
"6081",6081,"FP Fihaki ","2013-2015",8,2,6,"10",2,0,0,0,0,3,4,1,43.75,"Tonga"
"6082",6082,"OAML Filipine ","2000-2008",8,4,4,"20",4,0,0,0,0,4,4,0,50,"Tonga"
"6083",6083,"S Finau ","1988-1990",8,8,0,"0",0,0,0,0,0,2,6,0,25,"Tonga"
"6084",6084,"WL Finlay ","1875-1882",8,8,0,"0G",0,0,0,0,0,0,8,0,0,"Ire"
"6085",6085,"M Finocchi ","1968-1971",8,6,2,"3",1,0,0,0,0,4,4,0,50,"Italy"
"6086",6086,"DL Flatman ","2000-2002",8,1,7,"0",0,0,0,0,0,7,1,0,87.5,"Eng"
"6087",6087,"SP Ford ","1990-1991",8,8,0,"8",2,0,0,0,0,2,5,1,31.25,"Wales"
"6088",6088,"AJ Forrest ","1880-1885",8,8,0,"0G",1,0,0,0,0,1,6,1,18.75,"Ire"
"6089",6089,"WT Forrest ","1903-1905",8,8,0,"2",0,1,0,0,0,5,3,0,62.5,"Scot"
"6090",6090,"TK Fotu ","1987-1990",8,7,1,"4",1,0,0,0,0,1,7,0,12.5,"Tonga"
"6091",6091,"CH Fourie ","2010-2011",8,3,5,"0",0,0,0,0,0,5,3,0,62.5,"Eng"
"6092",6092,"D Fowles ","1921-1923",8,7,1,"0",0,0,0,0,0,3,5,0,37.5,"Aust"
"6093",6093,"M French ","2005-2007",8,4,4,"0",0,0,0,0,0,2,6,0,25,"USA"
"6094",6094,"P Fuatai Leota ","1988-1990",8,8,0,"0",0,0,0,0,0,6,1,1,81.25,"Samoa"
"6095",6095,"T Fukofuka ","1993-1995",8,8,0,"0",0,0,0,0,0,4,4,0,50,"Tonga"
"6096",6096,"IA Fullarton ","2000-2004",8,2,6,"0",0,0,0,0,0,2,6,0,25,"Scot"
"6097",6097,"HT Fuls ","1992-1993",8,7,1,"0",0,0,0,0,0,3,4,1,43.75,"SA"
"6098",6098,"T Futeu ","2019-2020",8,2,6,"5",1,0,0,0,0,6,2,0,75,"Spain"
"6099",6099,"B Gallaire ","2018-2020",8,2,6,"0",0,0,0,0,0,2,6,0,25,"Belg"
"6100",6100,"RA Gallie ","1920-1921",8,8,0,"0",0,0,0,0,0,4,4,0,50,"Scot"
"6101",6101,"PM Gambarini ","2006-2008",8,4,4,"5",1,0,0,0,0,8,0,0,100,"Arg"
"6102",6102,"QF Garcia ","2018-2019",8,4,4,"10",2,0,0,0,0,5,3,0,62.5,"Spain"
"6103",6103,"D Garcia del Prado ","1997-1998",8,7,1,"10",2,0,0,0,0,5,3,0,62.5,"Spain"
"6104",6104,"RM Garrett ","1888-1892",8,8,0,"0",0,0,0,0,0,3,4,1,43.75,"Wales"
"6105",6105,"JT Gaston ","1954-1956",8,8,0,"3",1,0,0,0,0,1,7,0,12.5,"Ire"
"6106",6106,"JM Gauweloose ","1975-1981",8,8,0,"8",2,0,0,0,0,1,6,1,18.75,"Arg"
"6107",6107,"F Gelez ","2001-2003",8,6,2,"81",0,6,23,0,0,5,2,1,68.75,"Fra"
"6108",6108,"HW George ","1910-1914",8,8,0,"0",0,0,0,0,0,3,5,0,37.5,"Aust"
"6109",6109,"C Gheorghe ","1992-1997",8,4,4,"0",0,0,0,0,0,5,3,0,62.5,"Rom"
"6110",6110,"A Ghibradze ","1992-1996",8,8,0,"0",0,0,0,0,0,8,0,0,100,"Georg"
"6111",6111,"JB Gibbes ","2004-2005",8,6,2,"0",0,0,0,0,0,6,2,0,75,"NZ"
"6112",6112,"JL Giles ","1935-1938",8,8,0,"6",2,0,0,0,0,5,2,1,68.75,"Eng/GB"
"6113",6113,"GA Gillett ","1905-1908",8,8,0,"7",1,2,0,0,0,6,1,1,81.25,"NZ"
"6114",6114,"T Goda ","1990-1995",8,7,1,"4",1,0,0,0,0,2,6,0,25,"JPN"
"6115",6115,"A Godziek ","1982-1984",8,8,0,"0",0,0,0,0,0,2,5,1,31.25,"Can"
"6116",6116,"O Goia Iriberri ","2016-2019",8,3,5,"5",1,0,0,0,0,5,3,0,62.5,"Spain"
"6117",6117,"NC Gonzalez del Solar ","1964-1965",8,8,0,"0",0,0,0,0,0,5,2,1,68.75,"Arg"
"6118",6118,"H Goti ","1961-1966",8,8,0,"37",11,2,0,0,0,6,2,0,75,"Arg"
"6119",6119,"S Goto ","2005-2006",8,1,7,"0",0,0,0,0,0,3,5,0,37.5,"JPN"
"6120",6120,"J Gouws ","2003-2004",8,4,4,"0",0,0,0,0,0,2,6,0,25,"USA"
"6121",6121,"JJ Gowans ","1893-1896",8,8,0,"6",2,0,0,0,0,5,2,1,68.75,"Scot"
"6122",6122,"A Graham ","2001-2004",8,6,2,"10",2,0,0,0,0,3,5,0,37.5,"Namib"
"6123",6123,"S Graou ","1992-1995",8,4,4,"0",0,0,0,0,0,4,3,1,56.25,"Fra"
"6124",6124,"SD Gray ","2004-2009",8,2,6,"5",1,0,0,0,0,2,6,0,25,"Scot"
"6125",6125,"EN Greatorex ","1923-1928",8,8,0,"15",5,0,0,0,0,3,5,0,37.5,"Aust"
"6126",6126,"J Green ","1905-1907",8,8,0,"0",0,0,0,0,0,3,4,1,43.75,"Eng"
"6127",6127,"LL Greig ","1903-1908",8,8,0,"0",0,0,0,0,0,2,4,2,37.5,"GB/Scot"
"6128",6128,"AA Griffiths ","2015-2017",8,6,2,"5",1,0,0,0,0,2,6,0,25,"HK"
"6129",6129,"JL Guidi ","1958-1961",8,8,0,"6",2,0,0,0,0,6,2,0,75,"Arg"
"6130",6130,"MR Guidone ","2008-2013",8,3,5,"5",1,0,0,0,0,6,2,0,75,"Arg"
"6131",6131,"WE Hadley ","1934-1936",8,8,0,"6",2,0,0,0,0,4,3,1,56.25,"NZ"
"6132",6132,"I Hafoka ","1928-1934",8,8,0,"11",0,1,3,0,0,2,6,0,25,"Tonga"
"6133",6133,"I Hall ","1967-1974",8,8,0,"0",0,0,0,0,0,4,1,3,68.75,"Wales"
"6134",6134,"EO Halvey ","1995-1997",8,5,3,"10",2,0,0,0,0,4,4,0,50,"Ire"
"6135",6135,"EDG Hammett ","1920-1922",8,8,0,"12",0,6,0,0,0,6,2,0,75,"Eng"
"6136",6136,"CEL Hammond ","1905-1908",8,8,0,"0",0,0,0,0,0,3,5,0,37.5,"Eng"
"6137",6137,"H Hanning ","1932-1937",8,8,0,"0",0,0,0,0,0,2,6,0,25,"Germ"
"6138",6138,"HT Harbison ","1984-1987",8,7,1,"0",0,0,0,0,0,3,5,0,37.5,"Ire"
"6139",6139,"PF Hardwick ","1902-1904",8,8,0,"0",0,0,0,0,0,3,4,1,43.75,"Eng"
"6140",6140,"MD Hardy ","1997-1998",8,2,6,"10",2,0,0,0,0,5,3,0,62.5,"Aust"
"6141",6141,"DJE Harris ","1959-1961",8,8,0,"0",0,0,0,0,0,4,4,0,50,"Wales"
"6142",6142,"LR Harvey ","1949-1950",8,8,0,"0",0,0,0,0,0,3,4,1,43.75,"NZ"
"6143",6143,"TA Harvey ","1900-1903",8,8,0,"0",0,0,0,0,0,2,6,0,25,"Ire"
"6144",6144,"WE Hazlett ","1928-1930",8,8,0,"0",0,0,0,0,0,5,3,0,62.5,"NZ"
"6145",6145,"AD Heath ","1996-1997",8,7,1,"0",0,0,0,0,0,4,3,1,56.25,"Aust"
"6146",6146,"IC Henderson ","1939-1948",8,8,0,"0",0,0,0,0,0,1,7,0,12.5,"Scot"
"6147",6147,"D Herewini ","1997-1998",8,6,2,"0",0,0,0,0,0,6,2,0,75,"HK"
"6148",6148,"RC Herrera ","1925-1927",8,8,0,"6",2,0,0,0,0,3,4,1,43.75,"Wales"
"6149",6149,"KD Ho ","1994-2002",8,8,0,"5",1,0,0,0,0,1,7,0,12.5,"Korea"
"6150",6150,"R Hogg ","1958-1961",8,8,0,"3",1,0,0,0,0,6,2,0,75,"Arg"
"6151",6151,"DJ Hougaard ","2003-2007",8,6,2,"69",2,13,10,1,0,4,4,0,50,"SA"
"6152",6152,"PD Howard ","1930-1931",8,8,0,"0",0,0,0,0,0,2,4,2,37.5,"Eng"
"6153",6153,"A Hudson ","1906-1910",8,8,0,"27",9,0,0,0,0,4,4,0,50,"Eng"
"6154",6154,"TF Huskisson ","1937-1939",8,8,0,"0",0,0,0,0,0,6,2,0,75,"Eng"
"6155",6155,"M Iguchi ","1973-1975",8,8,0,"3",0,0,0,1,0,2,6,0,25,"JPN"
"6156",6156,"M Iliescu ","1961-1967",8,7,1,"0",0,0,0,0,0,6,1,1,81.25,"Rom"
"6157",6157,"K Imaizumi ","1988-1997",8,5,3,"15",3,0,0,0,0,4,4,0,50,"JPN"
"6158",6158,"JRS Innes ","1939-1948",8,8,0,"3",1,0,0,0,0,2,6,0,25,"Scot"
"6159",6159,"SL Irazoqui ","1993-1995",8,6,2,"5",1,0,0,0,0,6,2,0,75,"Arg"
"6160",6160,"M Irvine ","2000-2001",8,5,3,"0",0,0,0,0,0,3,4,1,43.75,"Can"
"6161",6161,"P Isaacs ","2000-2005",8,7,1,"0",0,0,0,0,0,4,4,0,50,"Namib"
"6162",6162,"T Ito ","1980-1982",8,8,0,"0",0,0,0,0,0,4,4,0,50,"JPN"
"6163",6163,"M Jackson ","2015-2016",8,5,3,"5",1,0,0,0,0,1,6,1,18.75,"Braz"
"6164",6164,"WD Jackson ","1964-1969",8,8,0,"0",0,0,0,0,0,4,3,1,56.25,"Scot"
"6165",6165,"F Jacob ","1897-1899",8,8,0,"0",0,0,0,0,0,2,5,1,31.25,"Eng"
"6166",6166,"R Jintchvelashvili ","2013-2018",8,4,4,"0",0,0,0,0,0,6,2,0,75,"Georg"
"6167",6167,"JH John ","1926-1927",8,8,0,"0",0,0,0,0,0,3,4,1,43.75,"Wales"
"6168",6168,"TA Johnson ","2012-2014",8,5,3,"5",1,0,0,0,0,3,4,1,43.75,"Eng"
"6169",6169,"M Johnston ","1880-1886",8,8,0,"0G",1,0,0,0,0,1,6,1,18.75,"Ire"
"6170",6170,"PD Johnstone ","1993-1996",8,7,1,"5",1,0,0,0,0,4,4,0,50,"Zimb"
"6171",6171,"R Johnstone ","2001-2003",8,7,1,"0",0,0,0,0,0,4,4,0,50,"Can"
"6172",6172,"PL Jones ","1912-1914",8,8,0,"0",0,0,0,0,0,5,3,0,62.5,"Wales"
"6173",6173,"PNA Kaho ","2011-2013",8,4,4,"5",1,0,0,0,0,4,4,0,50,"Tonga"
"6174",6174,"L Katoa ","1996-1997",8,8,0,"0",0,0,0,0,0,3,5,0,37.5,"Tonga"
"6175",6175,"T Kaufusi ","2007-2009",8,4,4,"10",2,0,0,0,0,2,6,0,25,"Tonga"
"6176",6176,"GC Kerr ","1898-1900",8,8,0,"0",0,0,0,0,0,3,2,3,56.25,"Scot"
"6177",6177,"P Kewa Nacuva ","1979-1980",8,8,0,"8",2,0,0,0,0,2,6,0,25,"Fiji"
"6178",6178,"RP Keyes ","1986-1992",8,8,0,"94",1,9,22,2,0,2,6,0,25,"Ire"
"6179",6179,"B Keys ","2008-2009",8,5,3,"0",0,0,0,0,0,4,4,0,50,"Can"
"6180",6180,"GS Klerck ","2003-2004",8,7,1,"0",0,0,0,0,0,3,5,0,37.5,"USA"
"6181",6181,"S Klimenko ","1992-2001",8,8,0,"5",1,0,0,0,0,4,4,0,50,"Russ"
"6182",6182,"E Kobiti ","1924-1926",8,8,0,"5",0,1,1,0,0,3,4,1,43.75,"Fiji"
"6183",6183,"U Kolo'ofai ","2013-2016",8,6,2,"0",0,0,0,0,0,3,5,0,37.5,"Tonga"
"6184",6184,"O Kosariev ","2011-2012",8,8,0,"56",1,9,11,0,0,1,7,0,12.5,"Ukr"
"6185",6185,"C Kramer ","1955-1960",8,7,1,"0",0,0,0,0,0,5,3,0,62.5,"Rom"
"6186",6186,"S Krechun ","1997-1999",8,7,1,"0",0,0,0,0,0,7,1,0,87.5,"Russ"
"6187",6187,"TL Kruger ","1921-1928",8,8,0,"0",0,0,0,0,0,5,2,1,68.75,"SA"
"6188",6188,"M Kurokawa ","1998-2000",8,5,3,"5",1,0,0,0,0,3,5,0,37.5,"JPN"
"6189",6189,"M Kyrsanov ","2005-2008",8,8,0,"5",1,0,0,0,0,0,8,0,0,"Ukr"
"6190",6190,"M Labaibure ","1948-1954",8,8,0,"0",0,0,0,0,0,2,6,0,25,"Fiji"
"6191",6191,"PHC Labuschagne ","2019-2019",8,8,0,"5",1,0,0,0,0,6,2,0,75,"JPN"
"6192",6192,"G Lanzi ","1998-2001",8,2,6,"0",0,0,0,0,0,4,4,0,50,"Italy"
"6193",6193,"G Lari ","1972-1974",8,7,1,"24",0,3,6,0,0,4,4,0,50,"Italy"
"6194",6194,"RJ Larson ","2011-2015",8,4,4,"0",0,0,0,0,0,3,5,0,37.5,"Namib"
"6195",6195,"I Lassissi ","1993-1995",8,8,0,"0",0,0,0,0,0,4,4,0,50,"CdI"
"6196",6196,"P Latukefu ","1995-1998",8,8,0,"5",1,0,0,0,0,4,4,0,50,"Tonga"
"6197",6197,"J Laureano ","1988-1990",8,7,1,"0",0,0,0,0,0,4,3,1,56.25,"Port"
"6198",6198,"CT Lecloux ","2013-2019",8,3,5,"0",0,0,0,0,0,0,8,0,0,"Belg"
